segmentid,device,timestamp,filedate,filetimeutc,updatetimems,sequenceno,vin,utctime,startlocaltime,endlocaltime,swversionmaj,swversionmin,configversion,startlatitude,startlongitude,endlatitude,endlongitude,startodometer,endodometer,numbsmtx,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,numinforms,numgnssoutages,numcanoutages,numintersectionencounters,firmwareversionstring,configsversionstring,fullmediaversionstring,deltamediaversionstring,pluginsversionstring,totalstorageondevice,storageused,partition_date,timestamp_hr,startlocaltime_hr,endlocaltime_hr,trip_id
c4ffa3b0c44a8021d612c48bb1cd5a68,3053,1643380000000.0,20220128,132143,1969-12-31 23:24:12.516352,1,177540c7bcb8db31697b601642eac8d4,1643380000000.0,48103775,49756075,,,0,40.10915039,-83.18805269,40.2803621,-83.50378421,,16965951.0,15960,7294,0,368,0,0,0,50,1,HONDA-HSC-C-V1.13,HONDA-HSC-C-V1.13r2,HONDA-HSC-C-V1.11r1,0,HONDA-HSC-C-V1.13r2,5038,251,1/28/2022,2022-01-28 14:26:40,2022-01-28 18:21:43.775000064,2022-01-28 18:49:16.075000064,305320220128132143
81052091b5688ea17fdc537f6e8a74a8,77,1643410000000.0,20220128,221229,1969-12-31 23:24:12.516352,1,28dd2c7955ce926456240b2ff0100bde,1643410000000.0,79949546,79983250,,,0,40.09271001,-83.01683469,40.09353066,-83.01715333,,149641575.0,299,0,0,0,0,0,0,3,0,HSC V3.11,0,HSC V3.11,0,0,5110,306,1/28/2022,2022-01-28 22:46:40,2022-01-29 03:12:29.545999872,2022-01-29 03:13:03.249999872,7720220128221229
f239c6517c30962fc204b127bb65d033,3053,1643370000000.0,20220128,130033,1969-12-31 23:24:12.516352,1,177540c7bcb8db31697b601642eac8d4,1643370000000.0,46833926,47281026,,,0,40.12069131,-83.16082721,40.12281256,-83.14244491,,16921952.0,3902,0,0,0,0,0,0,50,0,HONDA-HSC-C-V1.13,HONDA-HSC-C-V1.13r2,HONDA-HSC-C-V1.11r1,0,HONDA-HSC-C-V1.13r2,5038,251,1/28/2022,2022-01-28 11:40:00,2022-01-28 18:00:33.926000128,2022-01-28 18:08:01.025999872,305320220128130033
e71c1c03d12d15711b17f3c5d7d810bf,77,1643390000000.0,20220128,160625,1969-12-31 23:24:12.516352,1,28dd2c7955ce926456240b2ff0100bde,1643390000000.0,57984845,58676095,,,0,40.09272459,-83.09302749,40.09793433,-83.02611229,,,6867,12,0,0,0,0,0,4,0,HSC V3.11,0,HSC V3.11,0,0,5110,305,1/28/2022,2022-01-28 17:13:20,2022-01-28 21:06:24.844999936,2022-01-28 21:17:56.095000064,7720220128160625
756942e8e69833bd0e4fc9f8b9432472,77,1643410000000.0,20220128,223550,1969-12-31 23:24:12.516352,1,28dd2c7955ce926456240b2ff0100bde,1643410000000.0,81350620,81851756,,,0,40.09263859,-83.01707939,40.09794007,-83.02610587,,149643574.0,4976,0,0,0,0,0,0,3,0,HSC V3.11,0,HSC V3.11,0,0,5110,306,1/28/2022,2022-01-28 22:46:40,2022-01-29 03:35:50.620000000,2022-01-29 03:44:11.756000000,7720220128223550
5d2a050f506d243fa48ebf703fd20edc,122,1643410000000.0,20220128,231557,1969-12-31 23:24:12.516352,1,a0a080f42e6f13b3a2df133f073095dd,1643410000000.0,83757449,83878261,,,0,40.05172282,-83.16465536,40.05172282,-83.16465536,,,0,0,0,0,0,0,0,61,0,HSC V3.11,0,HSC V3.11,0,0,5110,333,1/28/2022,2022-01-28 22:46:40,2022-01-29 04:15:57.448999936,2022-01-29 04:17:58.260999936,12220220128231557
545ee5ffdf2345e6a2682ecc96208641,77,1643410000000.0,20220128,222505,1969-12-31 23:24:12.516352,1,28dd2c7955ce926456240b2ff0100bde,1643410000000.0,80705635,81075664,,,0,40.09275024,-83.01819847,40.09263859,-83.01707939,,149642568.0,3663,0,0,0,0,0,0,3,0,HSC V3.11,0,HSC V3.11,0,0,5110,306,1/28/2022,2022-01-28 22:46:40,2022-01-29 03:25:05.635000064,2022-01-29 03:31:15.664000000,7720220128222505
b4e64cd2e78e2831f254a135bf42d430,122,1643370000000.0,20220128,123349,1969-12-31 23:24:12.516352,1,a0a080f42e6f13b3a2df133f073095dd,1643370000000.0,45229319,47211603,,,0,40.10287664,-83.15881026,40.30309208,-83.52657208,,,19189,175,0,946,0,0,0,34,2,HSC V3.11,0,HSC V3.11,0,0,5110,332,1/28/2022,2022-01-28 11:40:00,2022-01-28 17:33:49.319000064,2022-01-28 18:06:51.603000064,12220220128123349
3f5e62bd892b05ca7cf68edc329ebdf3,110,1643410000000.0,20220128,231642,1969-12-31 23:24:12.516352,1,5f93f983524def3dca464469d2cf9f3e,1643410000000.0,83801996,83942807,,,0,40.06529307,-83.17265332,40.06321637,-83.1718207,,42842878.0,1033,0,0,0,0,0,0,22,0,HSC V3.11,0,HSC V3.11,0,0,5110,332,1/28/2022,2022-01-28 22:46:40,2022-01-29 04:16:41.996000000,2022-01-29 04:19:02.807000064,11020220128231642
ff1a4b8e29dcd6d4e6c412b171349379,110,1643410000000.0,20220128,230625,1969-12-31 23:24:12.516352,1,5f93f983524def3dca464469d2cf9f3e,1643410000000.0,83185285,83778829,,,0,40.11031991,-83.18862467,40.06529307,-83.17265332,,42842878.0,5898,0,0,0,0,0,0,5,0,HSC V3.11,0,HSC V3.11,0,0,5110,332,1/28/2022,2022-01-28 22:46:40,2022-01-29 04:06:25.284999936,2022-01-29 04:16:18.828999936,11020220128230625
